时间	电机力矩	位置	速度	倾角	倾角加速度
0.016	-19.4333	0.0694499	4.09462	-0.11185	5
0.032	208.608	-0.89579	-48.8769	0.15671	16.7849
0.048	-146.809	-0.557155	33.1753	0.247516	5.676
0.064	208.565	-1.52239	-48.8386	0.509588	16.3788
0.08	-146.853	-1.18375	33.211	0.594535	5.30982
0.096	208.518	-2.14898	-48.8044	0.851203	16.0411
0.112	-146.901	-1.81034	33.2427	0.931395	5.01207
0.128	208.469	-2.77557	-48.7739	1.18368	15.7678
0.144	-146.951	-2.43693	33.2713	1.25997	4.76881
0.16	213.426	-3.41513	-48.7591	1.24926	-0.670248
0.176	-144.127	-3.08379	33.2775	1.17625	-4.56263
0.192	217.937	-4.07356	-48.7651	0.930711	-15.3467
0.208	-148.644	-3.72832	33.7032	0.996754	4.12789
0.224	213.151	-4.70345	-48.3075	0.897035	-6.23267
0.24	-148.846	-4.35757	33.7217	0.969411	4.52375
0.256	213.2	-5.33284	-48.313	0.868385	-6.31427
0.272	-148.806	-4.98706	33.7171	0.93975	4.46082
0.288	213.233	-5.9624	-48.3169	0.837931	-6.36421
0.304	-148.799	-5.61663	33.7155	0.909272	4.45938
0.32	210.613	-6.58401	-48.0654	0.887054	-1.38928
0.336	-151.408	-6.23035	33.9685	1.03706	9.37561
0.352	210.635	-7.19788	-48.0639	1.01332	-1.48378
0.368	-151.304	-6.84463	33.9621	1.15934	9.12662
0.384	208.969	-7.80719	-47.8999	1.18532	1.62325
0.4	-152.891	-7.44915	34.1369	1.37444	11.8205
0.416	209.911	-8.41431	-47.8993	1.35093	-1.46962
0.432	-145.46	-8.07564	34.1187	1.15508	-12.2401
0.448	120.003	-8.71432	-27.8987	1.25971	6.53764
0.464	-204.462	-8.16355	46.8893	1.22917	-1.90797
0.48	150.913	-8.91659	-35.1299	1.37103	8.86636
0.496	-204.483	-8.36582	46.899	1.33938	-1.97771
0.512	154.805	-9.129	-35.1309	1.27766	-3.85807
0.528	-206.192	-8.57355	46.9465	1.32461	2.93535
0.544	152.888	-9.33023	-34.8031	1.28821	-2.27594
0.56	-207.386	-8.7704	47.2264	1.33361	2.83753
0.576	151.474	-9.52344	-34.8016	1.37091	2.33113
0.592	-203.904	-8.97268	47.2191	1.23562	-8.45487
0.608	132.676	-9.6608	-30.6436	1.30515	4.34475
0.624	-222.903	-9.04509	51.2632	1.23871	-4.15157
0.64	132.481	-9.73317	-30.7594	1.34494	6.63861
0.656	-222.896	-9.11741	51.2632	1.27811	-4.17622
0.672	132.645	-9.80544	-30.6736	1.35614	4.87653
0.688	-223.087	-9.18966	51.1572	1.32357	-2.03546
0.704	135.559	-9.88615	-30.8719	1.29438	-1.82453
0.72	-224.674	-9.26604	51.1896	1.33749	2.69454
0.736	134.33	-9.95782	-30.5531	1.29963	-2.36653
0.752	-225.555	-9.33407	51.4747	1.32361	1.49921
0.768	132.87	-10.0221	-30.5536	1.36234	2.42013
0.784	-222.505	-9.40623	51.4666	1.22848	-8.366
0.8	117.471	-10.0224	-27.1681	1.29835	4.36651
0.816	-238.149	-9.33476	54.7217	1.23827	-3.75434
0.832	117.23	-9.95094	-27.2995	1.35083	7.0342
0.848	-238.434	-9.26331	54.5753	1.33922	-0.724923
0.864	121.617	-9.8916	-27.4559	1.25787	-5.08468
0.88	-239.912	-9.19962	54.6727	1.30134	2.7171
0.896	119.156	-9.81973	-27.076	1.26186	-2.46791
0.912	-242.251	-9.12037	54.9557	1.36302	6.32265
0.928	118.559	-9.73897	-27.0747	1.35453	-0.530577
0.944	-238.693	-9.04887	54.9481	1.27112	-5.21253
0.96	117.644	-9.66502	-27.0741	1.3104	2.45431
0.976	-237.731	-8.97736	54.9463	1.17704	-8.33486
0.992	98.078	-9.51814	-22.7272	1.2455	4.27868
1.008	-183.016	-8.93573	42.0071	1.20991	-2.22408
1.024	172.893	-9.6564	-40.0682	1.33162	7.60649
1.04	-183.382	-9.0698	42.0554	1.30414	-1.71659
1.056	175.134	-9.79399	-40.0082	1.29478	-0.585825
1.072	-184.715	-9.20191	42.0253	1.344	3.07675
1.088	177.293	-9.92901	-39.9855	1.21635	-7.97884
1.104	-184.705	-9.33362	42.0161	1.26713	3.17398
1.12	174.874	-10.0516	-39.7884	1.22102	-2.88204
1.136	-187.085	-9.44819	42.2319	1.34702	7.87532
1.152	174.982	-10.1656	-39.8111	1.30044	-2.91154
1.168	-185.133	-9.56654	42.2051	1.33036	1.87032
1.184	148.074	-10.2804	-34.0011	1.36242	2.00345
1.2	-208.841	-9.6871	47.848	1.34165	-1.29749
1.216	138.468	-10.408	-31.433	1.28863	-3.31419
1.232	-222.573	-9.80855	50.6725	1.34017	3.2217
1.248	136.407	-10.5208	-31.0899	1.31648	-1.4811
1.264	-222.294	-9.91971	50.9348	1.29332	-1.44736
1.28	103.591	-10.6282	-23.8897	1.33929	2.87302
1.296	-162.044	-10.0347	37.4417	1.25094	-5.52166
1.312	195.402	-10.7517	-44.8696	1.29343	2.65578
1.328	-164.382	-10.1506	37.762	1.25417	-2.45357
1.344	192.888	-10.8584	-44.2816	1.29366	2.468
1.36	-165.877	-10.2526	37.9466	1.29042	-0.202532
1.376	191.813	-10.9559	-43.9297	1.30562	0.949691
1.392	-166.657	-10.3483	37.903	1.3532	2.9744
1.408	145.819	-11.051	-33.0386	1.28292	-4.39305
1.424	-214.418	-10.441	48.7644	1.34435	3.83963
1.44	146.023	-11.1407	-33.2235	1.30572	-2.4151
1.456	-169.325	-10.5236	38.4759	1.36178	3.50438
1.472	192.899	-11.2294	-43.8605	1.30425	-3.59603
1.488	-169.996	-10.6093	38.7197	1.33967	2.21401
1.504	190.786	-11.3077	-43.4249	1.29304	-2.91463
1.52	-170.863	-10.6846	38.878	1.33758	2.7839
1.536	187.711	-11.3727	-42.9427	1.34156	0.248036
1.552	-168.977	-10.7547	38.8446	1.29497	-2.91062
1.568	186.495	-11.4395	-42.9008	1.35304	3.62839
1.584	-169.85	-10.8176	39.1986	1.2711	-5.12062
1.6	186.018	-11.501	-42.8774	1.34877	4.85401
1.616	-169.991	-10.8795	39.0201	1.31514	-2.10109
1.632	188.173	-11.5691	-42.9954	1.30697	-0.511281
1.648	-172.11	-10.9415	39.1617	1.35184	2.80495
1.664	186.913	-11.6259	-42.6017	1.3195	-2.02223
1.68	-172.535	-10.9955	39.5333	1.30157	-1.12057
1.696	185.11	-11.6746	-42.4687	1.33318	1.97584
1.712	-170.435	-11.0494	39.579	1.19478	-8.64966
1.728	184.646	-11.7268	-42.3867	1.23195	2.32264
1.744	-171.459	-11.0989	39.5821	1.14648	-5.34129
1.76	183.951	-11.7747	-42.4306	1.23011	5.22667
1.776	-172.069	-11.1454	39.5368	1.18697	-2.6959
1.792	183.297	-11.8198	-42.4663	1.313	7.87654
1.808	-172.477	-11.1891	39.6022	1.27624	-2.29735
1.824	184.062	-11.8652	-42.4038	1.34788	4.47714
1.84	-173.889	-11.2302	39.7631	1.34818	0.0194108
1.856	185.66	-11.9098	-42.2464	1.30012	-3.00477
1.872	-175.741	-11.2695	39.8668	1.37367	4.59735
1.888	183.405	-11.9416	-41.8911	1.36232	-0.709972
1.904	-173.541	-11.3066	39.9388	1.30419	-3.63203
1.92	182.663	-11.9775	-42.0587	1.37009	4.1179
